ARCTIC,Name,State,Latitude,Longitude
ARCTIC2,Anchorage,Alaska,61.21627757,-149.89484742
ARCTIC2,Bodega Bay,California,38.33487,-123.0481
ARCTIC2,Cordova,Alaska,60.54406292,-145.76017488
ARCTIC2,Dillingham,Alaska,59.03937443,-158.46307877
ARCTIC2,Fairbanks,Alaska,64.83969225,-147.72124822
ARCTIC2,Galena,Alaska,64.74265286,-156.87712316
ARCTIC2,Kotzebue,Alaska,66.89667542,-162.59298933
ARCTIC2,Minto,Alaska,65.15214834,-149.34826008
ARCTIC2,Shungnak,Alaska,66.8880443,-157.13819049
ARCTIC2,Tok,Alaska,63.33589644,-142.98776188
ARCTIC1,Ambler,Alaska,67.08647078,-157.85652784
ARCTIC1,Anchorage,Alaska,61.21627757,-149.89484742
ARCTIC1,Bodega Bay,California,38.33487,-123.0481
ARCTIC1,Chignik Lagoon,Alaska,56.31042481,-158.53776105
ARCTIC1,Delta Junction,Alaska,64.04716726,-145.73666819
ARCTIC1,Dillingham,Alaska,59.03937443,-158.46307877
ARCTIC1,Fairbanks,Alaska,64.83969225,-147.72124822
ARCTIC1,Gjoa Haven,Nunavut,68.62506,-95.8775
ARCTIC1,Homer,Alaska,59.64718757,-151.53200662
ARCTIC1,Igiugig,Alaska,59.32534731,-155.90354017
ARCTIC1,Iliamna,Alaska,59.7547,-154.9061
ARCTIC1,Inuvik,Northwest Territories,68.3594,-133.7294
ARCTIC1,Juneau,Alaska,58.29983971,-134.40663973
ARCTIC1,Kake,Alaska,56.97444988,-133.9447988
ARCTIC1,Kenai,Alaska,60.5590139,-151.24880589
ARCTIC1,Kokhanok,Alaska,59.44000574,-154.74918539
ARCTIC1,Kotzebue,Alaska,66.89667542,-162.59298933
ARCTIC1,Manoa,Hawaii,21.31561,-157.804
ARCTIC1,Nome,Alaska,64.49808969,-165.40855986
ARCTIC1,Nunavut,Nunavut,63.74675,-68.51697
ARCTIC1,Perryville,Alaska,55.91158561,-159.14339251
ARCTIC1,Petersburg,Alaska,56.8109592,-132.95776302
ARCTIC1,Pilot Point,Alaska,57.56429935,-157.57733276
ARCTIC1,Saratoga Springs,New York,43.08323,-73.78478
ARCTIC1,Shungnak,Alaska,66.8880443,-157.13819049
ARCTIC1,Sitka,Alaska,57.04902126,-135.33862304
ARCTIC1,Soldotna,Alaska,60.49044721,-151.06585198
ARCTIC1,Utqiagvik,Alaska,71.2893974,-156.76104378
